Organization Name,Post_Money_Valuation_(in B),Lead Investors Include,Country,Continent,Industry
Ultima Genomics,1,,United States,North America,Enterprise Tech
Immuta,1,Databricks Ventures,United States,North America,Financial Services
EcoVadis,1,"Astorg, Beyond Net Zero",France,Europe,Healthcare & Life Sciences
Vendr,1,"Craft Ventures, SoftBank Vision Fund",United States,North America,Enterprise Tech
Turntide Technologies,1,Climate Investment,United States,North America,Enterprise Tech
MNTN,1,"BlackRock, Fidelity",United States,North America,Financial Services
thatgamecompany,1,"Sequoia Capital, TPG",United States,North America,Enterprise Tech
Zongmu,1,"Caitong Capital, Dongyang State-Owned Assets Investment",China,Asia,Enterprise Tech
Yunyinggu,1,HSG,China,Asia,Consumer & Retail
Insilico Medicine,1,"Pudong Chuangtou, Value Partners",Hong Kong,Asia,Industrials
Visby Medical,1,Lightrock,United States,North America,Industrials
FourKites,1,Mitsui & Co,United States,North America,Enterprise Tech
Flexe,1,BlackRock,United States,North America,Healthcare & Life Sciences
Tebra,1,Golub Capital,United States,North America,Consumer & Retail
JLSemi,1,"Renchen Semiconductor, Summitview Capital",China,Asia,Media & Entertainment
Exterro,1,"Coller Capital, Glendower Capital",United States,North America,Healthcare & Life Sciences
Prodege,1,Great Hill Partners,United States,North America,Consumer & Retail
Paystand,1,NewView Capital,United States,North America,Enterprise Tech
Freenome,1,Roche,United States,North America,Industrials
SAIC Mobility,1,SAIC Motor,China,Asia,Financial Services
TerraPower,1,"Bill Gates, SK Group",United States,North America,Financial Services
Zebec,1,"Distributed Global, Solana Ventures",United States,North America,Financial Services
Terawatt Infrastructure,1,Vision Ridge Capital Partners,United States,North America,Consumer & Retail
Swiftly,1,BRV Capital Management,United States,North America,Financial Services
LINE MAN Wongnai,1,"GIC, LINE Plus Corporation",Thailand,Asia,Healthcare & Life Sciences
Satispay,1,Addition,Italy,Europe,Enterprise Tech
Stability AI,1,WPP,United Kingdom,Europe,Enterprise Tech
Xanadu,1,Georgian,Canada,North America,Industrials
Wayve,1,Uber,United Kingdom,Europe,Enterprise Tech
Cambridge Mobile Telematics,1,SoftBank Vision Fund,United States,North America,Enterprise Tech
Gokin Solar,1,"IDG Capital, Zhuhai Huafa Group",Japan,Asia,
MNT-Halan,1,International Finance Corporation,Egypt,Africa,
Atmosphere,1,"S3 Ventures, Sageview Capital",United States,North America,
Character.ai,1,Andreessen Horowitz,,,
SiEngine Technology,1,China State-owned Enterprise Structural Adjustment Fund,China,Asia,
Adept AI,1,"General Catalyst, Spark Capital",United States,North America,
Flo Health,1,General Atlantic,United Kingdom,Europe,
Sygnum,1,Fulgur Ventures,Switzerland,Europe,
Blueground,1,Susquehanna Private Equity Investments,United States,North America,
Xreal,1,Alibaba Group,China,Asia,
BFMeta,1,Goldman Sachs,United States,North America,
Ohmium,1,3M,United States,North America,
Avenue One,1,WestCap,United States,North America,
Gradiant,1,"BoltRock Holdings, Centaurus Capital LP",United States,North America,
Restaurant365,1,ICONIQ Growth,United States,North America,
GO,1,"Fidelity International, Okayama Kotsu",Japan,Asia,
DocPlanner,1,"GS Growth, One Peak",Poland,Europe,
VectorBuilder,1,Guangzhou Yuexiu Industrial Investment Fund,United States,North America,
Agibot,1,Tencent,,,
1Komma5°,1,"CalSTRS, G2 Venture Partners",Germany,Europe,
Typeface,1,Salesforce Ventures,United States,North America,
Pigment,1,ICONIQ Growth,France,Europe,
Flashbots,1,Paradigm,Cayman Islands,North America,
Fullcryo,1,"CCB Equity, Chengtong Mixed Reform",China,Asia,
Imbue,1,Astera Institute,United States,North America,
Kin Insurance,1,Activate Capital Partners,United States,North America,
Generate Biomedicines,1,Samsung Life Science Fund,United States,North America,
Stegra,1,"AMF, GIC",Sweden,Europe,
Verkor,1,Macquarie Group,France,Europe,
Electric Hydrogen,1,"Energy Impact Partners, Fifth Wall",United States,North America,
Lyten,1,The Luxembourg Future Fund,United States,North America,
Prove,1,"Capital One Ventures, MassMutual Ventures",United States,North America,
Rong Semiconductor,1,"Xing Wang, Yu Renrong",China,Asia,
Metropolis,1,"3L Capital, Eldridge Industries",United States,North America,
Anhui YOFC Advanced Semiconductor,1,,China,Asia,
01.AI,1,Alibaba Cloud,,,
Rokid,1,Wuhan Jiangxia Technology Investment,United States,North America,
MaintainX,1,Bain Capital Ventures,United States,North America,
Andalusia Labs,1,Lightspeed Venture Partners,United States,North America,
Tamara,1,"Sanabil, Saudi National Bank",Saudi Arabia,Asia,
Vestwell,1,Lightspeed Venture Partners,United States,North America,
SolarSpace,1,Yingke Capital,China,Asia,
Silicon Box,1,Prysm Capital,Singapore,Asia,
Insitro,1,CPP Investments,United States,North America,
Picnic,1,Bill & Melinda Gates Foundation,The Netherlands,Europe,
Krutrim,1,Z47,India,Asia,
DataSnipper,1,Index Ventures,The Netherlands,Europe,
Yuanxin Satellite,1,China Development Bank,China,Asia,
Bugcrowd,1,General Catalyst,United States,North America,
Polyhedra Network,1,Polychain,United States,North America,
Uzum,1,FinSight Ventures,Uzbekistan,Asia,
IntraBio,1,,United Kingdom,Europe,
io.net,1,Hack VC,United States,North America,
QI Tech,1,General Atlantic,Brazil,South America,
Xaira Therapeutics,1,"ARCH Venture Partners, Foresite Capital",United States,North America,
Farcaster,1,Paradigm,United States,North America,
Monad,1,OKX Ventures,United States,North America,
Snorkel AI,1,QBE Ventures,United States,North America,
Aqua Security,1,Evolution Equity Partners,Israel,Asia,
G42,1,Microsoft,United Arab Emirates,Asia,
Feedzai,1,Conexo Ventures,Portugal,Europe,
SnapLogic,1,Sixth Street,United States,North America,
CHEQ,1,Tiger Global Management,Israel,Asia,
Ample,1,Mitsubishi Corporation,United States,North America,
FLASH,1,Vista Equity Partners,United States,North America,
Hasura,1,Greenoaks,India,Asia,
Licious,1,Amansa Capital,India,Asia,
Mux,1,Coatue,United States,North America,
Carro,1,Woori Venture Partners,Singapore,Asia,
Minute Media,1,Dawn Capital,United Kingdom,Europe,
Vedantu,1,Stride Ventures,India,Asia,
Taxfix,1,Ontario Teachers' Pension Plan,Germany,Europe,
Printful,1,Bregal Sagemount,United States,North America,
OneFootball,1,Major League Soccer,Germany,Europe,
EmployerDirect Healthcare,1,Dundon Capital Partners,United States,North America,
TechStyle Fashion Group,1,Shining Capital,United States,North America,
Mobvoi,1,"Nanjing Economic Development Juzhi Technology Innovation Investment Partnership, ZGC Group",China,Asia,
Moka,1,Tiger Global Management,China,Asia,
Builder.ai,1,Qatar Investment Authority,United Kingdom,Europe,
Zhaogang.com,1,West Fund,China,Asia,
MegaRobo,1,"Asia Investment Capital, GGV Capital",China,Asia,
Ninebot,1,"China Mobile Innovation Industry Fund, SDIC Fund Management",China,Asia,
Beisen,1,"Fidelity International, Goldman Sachs",China,Asia,
HT Aero,1,"5Y Capital, IDG Capital",China,Asia,
Parametrix.ai,1,HSG,China,Asia,
Shippo,1,Bessemer Venture Partners,United States,North America,
Verily,1,"Alphabet, Google",United States,North America,
Qiniu,1,YF Capital,China,Asia,
Raisin,1,M&G Investments,Germany,Europe,
LeadSquared,1,WestBridge Capital,India,Asia,
Bluecore,1,Georgian,United States,North America,
Genies,1,Silver Lake,United States,North America,
Qingju,1,Didi,China,Asia,
Shouqi Limousine & Chauffeur,1,"Baidu, NIO Capital",China,Asia,
VulcanForms,1,D1 Capital Partners,United States,North America,
Unstoppable Domains,1,Pantera Capital,United States,North America,
Sightline Payments,1,JP Morgan,United States,North America,
Dune Analytics,1,Coatue,Norway,Europe,
POIZON,1,DST Global,Hong Kong,Asia,
assembly,1,Advent International,United States,North America,
BillionToOne,1,Premji Invest,United States,North America,
Speak,1,Accel,United States,North America,
Create Music Group,1,Flexpoint Ford,United States,North America,
Aven,1,"General Catalyst, Khosla Ventures",United States,North America,
Huma,1,AstraZeneca,United Kingdom,Europe,
Altana,1,US Innovative Technology Fund,United States,North America,
Fruitist,1,Aliment Capital,United States,North America,
Cosm,1,,United States,North America,
EliseAI,1,Sapphire Ventures,United States,North America,
Kiteworks,1,"Insight Partners, Sixth Street",United States,North America,
Svante,1,Canada Growth Fund Investment Management,Canada,North America,
World Labs,1,"Andreessen Horowitz, New Enterprise Associates",United States,North America,
Rentberry,1,"Berkeley Hills Capital, GTM Capital",United States,North America,
Twelve,1,United Airlines Ventures,United States,North America,
HIF Global,1,Mitsui O.S.K. Lines,Chile,South America,
EvenUp,1,Bain Capital Ventures,United States,North America,
Nimble Robotics,1,"Cedar Pine, FedEx",United States,North America,
Moniepoint,1,Visa,United Kingdom,Europe,
Pacific Fusion,1,"Alumni Ventures, General Catalyst",United States,North America,
Halcyon,1,Evolution Equity Partners,United States,North America,
Lighthouse,1,Kohlberg Kravis Roberts,United Kingdom,Europe,
Ayar Labs,1,"Advent International, Alumni Ventures",United States,North America,
StepStar,1,Shanghai State-owned Capital Investment,China,Asia,
Cera,1,"BDT & MSD Partners, Schroders Capital",United Kingdom,Europe,
Truveta,1,Microsoft,United States,North America,
Loft Orbital,1,"AXIAL Partners, Tikehau Capital",United States,North America,
OpenEvidence,1,Sequoia Capital,United States,North America,
GI Water as a Service,1,"Al Qunaibet Investment Fund, Al Zamil",,,
BuildOps,1,Meritech Capital Partners,United States,North America,
Cyberhaven,1,StepStone Group,United States,North America,
Redpanda Data,1,Google Ventures,United States,North America,
Assured Insurance Technologies,1,,United States,North America,
Endless,1,Foresight Ventures,Hong Kong,Asia,
Nourish,1,J.P. Morgan Growth Equity Partners,United States,North America,
Quantum Systems,1,Balderton Capital,Germany,Europe,
Parloa,1,"Altimeter Capital, Durable Capital Partners",Germany,Europe,
JSW One,1,Mitsui & Co,India,Asia,
Owner,1,"Headline, Meritech Capital Partners",United States,North America,
Palmetto Clean Technology,1,TPG Rise Climate Fund,United States,North America,
Moody,1,"5Y Capital, Kohlberg Kravis Roberts",China,Asia,
Mythical Games,1,Alumni Ventures,United States,North America,
BigID,1,Riverwood Capital,United States,North America,
Shift Technology,1,Guidewire Software,France,Europe,
Turo,1,"Allen & Company, Manhattan Venture Partners (MVP)",United States,North America,
LetsGetChecked,1,Optum Ventures,United States,North America,
Climeworks,1,"GIC, Partners Group",Switzerland,Europe,
Stax,1,Fulcrum Equity Partners,United States,North America,
Oxyzo,1,"Alpha Wave Global, Creation Investments Capital Management, LLC",India,Asia,
Teya,1,Accel,United Kingdom,Europe,
Payhawk,1,Lightspeed Venture Partners,United Kingdom,Europe,
Esusu,1,SoftBank Vision Fund,United States,North America,
Tarana Wireless,1,Digital Alpha,United States,North America,
Savage X Fenty,1,Neuberger Berman,United States,North America,
Omada Health,1,Fidelity,United States,North America,
BlueVoyant,1,Liberty Strategic Capital,United States,North America,
UST,1,Temasek Holdings,United States,North America,
Securonix,1,Vista Equity Partners,United States,North America,
Plus,1,"ClearVue Partners, FountainVest Partners",United States,North America,
Tractable,1,SoftBank Vision Fund,United Kingdom,Europe,
PPRO,1,"Eldridge Industries, JP Morgan",United Kingdom,Europe,
Eat Just,1,"The Ahimsa Foundation, VegInvest",United States,North America,
Sift,1,Insight Partners,United States,North America,
BostonGene,1,NEC Corporation,United States,North America,
Xendit,1,"Coatue, Insight Partners",Indonesia,Asia,
Gauntlet,1,Ribbit Capital,United States,North America,
Aibee,1,Xiaomi,China,Asia,
ShipBob,1,Bain Capital Ventures,United States,North America,
Picsart,1,SoftBank Vision Fund,United States,North America,
Darwinbox,1,"Kohlberg Kravis Roberts, Partners Group",India,Asia,
Fabric,1,Temasek Holdings,United States,North America,
Visier,1,Goldman Sachs Asset Management,Canada,North America,
PandaDoc,1,"G Squared, OMERS Growth Equity",United States,North America,
Sisense,1,Insight Partners,United States,North America,
Forte,1,Kora,United States,North America,
Jellysmack,1,SoftBank Vision Fund,United States,North America,
Timescale,1,Tiger Global Management,United States,North America,
Amperity,1,HighSage Ventures,United States,North America,
Ivalua,1,"Ardian, Tiger Global Management",France,Europe,
Commonwealth Fusion,1,Tiger Global Management,United States,North America,
Clearcover,1,Eldridge Industries,United States,North America,
Facily,1,"Goodwater Capital, Prosus & Naspers",Brazil,South America,
Thirty Madison,1,HealthQuest Capital,United States,North America,
Nature's Fynd,1,SoftBank Vision Fund,United States,North America,
Standard Cognition,1,SoftBank Vision Fund,United States,North America,
Resilience,1,Mubadala,United States,North America,
OfferUp,1,Pobts,United States,North America,
Ajaib,1,DST Global,Indonesia,Asia,
Wisk Aero,1,The Boeing Company,United States,North America,
Binance,1,MGX,Malta,Europe,
Scandit,1,Warburg Pincus,Switzerland,Europe,
PatSnap,1,"SoftBank Vision Fund, Tencent",Singapore,Asia,
Quizlet,1,General Atlantic,United States,North America,
Interos,1,Blue Owl,United States,North America,
C2FO,1,International Finance Corporation,United States,North America,
Axelar Network,1,Crypto.com Capital,Canada,North America,
Masterworks,1,Left Lane Capital,United States,North America,
Hotmart,1,TCV,The Netherlands,Europe,
YipitData,1,The Carlyle Group,United States,North America,
Bringg,1,Insight Partners,Israel,Asia,
Clara,1,Citi Ventures,Mexico,North America,
CommerceIQ,1,SoftBank Vision Fund,United States,North America,
EquipmentShare,1,BDT & MSD Partners,United States,North America,
Betterfly,1,Glade Brook Capital Partners,Chile,South America,
Newsela,1,"Franklin Templeton, TCV",United States,North America,
Sidecar Health,1,Koch Disruptive Technologies,United States,North America,
Expel,1,"CapitalG, Paladin Capital Group",United States,North America,
EBANX,1,Advent International,Brazil,South America,
Owkin,1,Bristol-Myers Squibb,United States,North America,
GoGuardian,1,Tiger Global Management,United States,North America,
FreshBooks,1,Accomplice,Canada,North America,
WeLab,1,Allianz X,Hong Kong,Asia,
Cider,1,DST Global,Hong Kong,Asia,
Omio,1,"Kinnevik, Temasek Holdings",Germany,Europe,
MinIO,1,Intel Capital,United States,North America,
Stytch,1,Coatue,United States,North America,
Mark43,1,"The Spruce House Partnership, Tiger Global Management",United States,North America,
Evidation Health,1,"Kaiser Permanente Ventures, OMERS Private Equity",United States,North America,
Glia,1,Insight Partners,United States,North America,
FabFitFun,1,Milano Investment Partners SGR,United States,North America,
Dental Monitoring,1,Mérieux Equity Partners,France,Europe,
Kopi Kenangan,1,Tybourne Capital Management,Indonesia,Asia,
Assent,1,Vista Equity Partners,Canada,North America,
Movile,1,Prosus Ventures,Brazil,South America,
Solo.io,1,Altimeter Capital,United States,North America,
Immunai,1,Koch Disruptive Technologies,United States,North America,
Chrono24,1,Cristiano Ronaldo,Germany,Europe,
Healthcare.com,1,Hildred Capital Partners,United States,North America,
The Zebra,1,Hedosophia,United States,North America,
Moore Threads,1,Beijing Gaoliang Private Equity Fund Management,China,Asia,
Rothy's,1,Alpargatas,United States,North America,
HMD,1,Ginko Ventures,Finland,Europe,
Simply,1,Google Ventures,Israel,Asia,
Vagaro,1,FTV Capital,United States,North America,
Motorway,1,"ICONIQ Growth, Index Ventures",United Kingdom,Europe,
Semios,1,Morningside,Canada,North America,
Dubizzle Group,1,Affinity Partners,United Arab Emirates,Asia,
Patpat,1,SoftBank Vision Fund,China,Asia,
Momenta,1,General Motors,China,Asia,
Injective,1,Pantera Capital,United States,North America,
Place,1,Goldman Sachs Asset Management,United States,North America,
ProLogium Technology,1,China Reform Health Management and Services Group Co Ltd,Taiwan,Asia,
Fiture,1,"All-Stars Investment, BAI capital",China,Asia,
JMGO,1,"IDG Capital, Oppo",China,Asia,
GoGoX,1,"BOCOM International, Cyberport Macro Fund",Hong Kong,Asia,
Cadence Solutions,1,Coatue,United States,North America,
Scalapay,1,Poste Italiane,Italy,Europe,
HAEGIN,1,,South Korea,Asia,
Pet Circle,1,"Prysm Capital, TDM Growth Partners",Australia,Oceania,
Fenbeitong,1,DST Global,China,Asia,
MadeiraMadeira,1,"Dynamo, SOFTBANK Latin America Ventures",Brazil,South America,
Kujiale,1,Hillhouse Investment,China,Asia,
Jollychic,1,G42,China,Asia,
Agile Robots AG,1,Foxconn Industrial Internet,Germany,Europe,
Deeproute,1,Great Wall Motors,China,Asia,
Orca Bio,1,Lightspeed Venture Partners,United States,North America,
EcoFlow Tech,1,HSG,United States,North America,
OrCam Technologies,1,"Clal Insurance Enterprises Holdings, Meitav Investment House",Israel,Asia,
Hujiang Education Technologies,1,China Minsheng Investment Group,China,Asia,
Zhuanzhuan,1,Xiaomi,China,Asia,
Pat McGrath Labs,1,Eurazeo,United States,North America,
Maimai,1,DST Global,China,Asia,
LMAX Group,1,,United Kingdom,Europe,
BeiBei,1,"New Horizon Capital, Northern Light Venture Capital",China,Asia,
Numbrs,1,Saidler & Co.,Switzerland,Europe,
KKW Beauty,1,Coty,United States,North America,
Tezign,1,Temasek Holdings,China,Asia,
Squirrel Ai Learning,1,,China,Asia,
VNLIFE,1,"Dragoneer Investment Group, General Atlantic",Vietnam,Asia,
Kakao Enterprise,1,Hy,South Korea,Asia,
Interswitch,1,Visa,Nigeria,Africa,
LinkDoc Technology,1,Alibaba Health Information Technology,China,Asia,
Tresata,1,GCP Capital Partners,United States,North America,
MiningLamp,1,Russia-China Investment Fund,China,Asia,
Mia.com,1,Baidu,China,Asia,
Bitfury Group,1,Korelya Capital,The Netherlands,Europe,
Benlai,1,Mingde Holdings,China,Asia,
DXY,1,Trustbridge Partners,China,Asia,
Jushuitan Network Technology,1,Goldman Sachs,China,Asia,
Contrast Security,1,Liberty Strategic Capital,United States,North America,
Formation Bio,1,Andreessen Horowitz,United States,North America,
58 Daojia,1,,China,Asia,
YunQuNa,1,"CITIC Capital Holdings, Source Code Capital",China,Asia,
Banma Network Technologies,1,SDIC Fund Management,China,Asia,
Mofang Gongyu,1,Caisse de Depot et Placement du Quebec,China,Asia,
Playco,1,Meta,Japan,Asia,
Huikedu Group,1,China Oceanwide,China,Asia,
Knowbox,1,Alibaba Group,China,Asia,
Yidian Zixun,1,Long De Cheng Zhang Culture Communication,China,Asia,
Qualia,1,Tiger Global Management,United States,North America,
Zwift,1,Kohlberg Kravis Roberts,United States,North America,
Arrail Dental Clinic,1,Temasek Holdings,China,Asia,
Red Ventures,1,Silver Lake,United States,North America,
Aircall,1,HubSpot Ventures,France,Europe,
Orbbec,1,Ant Group,China,Asia,
COSMOplat,1,Hongtai Fund,China,Asia,
Xforceplus,1,Temasek Holdings,China,Asia,
Mammoth Biosciences,1,Redmile Group,United States,North America,
YH Global,1,"HNF, Yonghua Capital",China,Asia,
Haomo.AI,1,Jiuzhi Ziben,China,Asia,
Unisound,1,"China Internet Investment Fund, China Ministry of Finance",China,Asia,
REEF,1,"Mubadala Capital Ventures, SoftBank",United States,North America,
Capsule,1,Durable Capital Partners,United States,North America,
Quantum Metric,1,Insight Partners,United States,North America,
FXiaoKe,1,Eastern Bell Capital,China,Asia,
SmartAsset,1,TTV Capital,United States,North America,
Lookout,1,T. Rowe Price,United States,North America,
Fractal,1,TPG Capital Asia,United States,North America,
Yidao Yongche,1,China CITIC Bank,China,Asia,
Xiaozhu.com,1,"Advantech Capital, YF Capital",China,Asia,
Hyperchain Technologies,1,"E Fund Management Co.,LTD.",China,Asia,
Moviebook,1,Yao Capital,China,Asia,
Klook,1,Vitruvian Partners,Hong Kong,Asia,
Anyscale,1,"Addition, Intel Capital",United States,North America,
Newlink,1,Shandong Green Development Fund,China,Asia,
Tenglong Holding Group,1,"Morgan Stanley Venture Partners, Nanshan Capital",China,Asia,
APUS Group,1,"Chengwei Capital, Qiming Venture Partners",China,Asia,
Tencent Trusted Doctors,1,"Gaw Capital Partners, HSG",China,Asia,
Orchard,1,Accomplice,United States,North America,
Infarm,1,Qatar Investment Authority,Germany,Europe,
InvestCloud,1,"Clearlake Capital Group, Motive Partners",United States,North America,
Revolution Precrafted,1,500 Global,Philippines,Asia,
Sennder,1,Baillie Gifford,Germany,Europe,
Womai,1,Taikang Insurance Group,China,Asia,
Haydon,1,"Hillhouse Investment, Tencent",China,Asia,
Lamabang,1,Suning.com,China,Asia,
1KMXC,1,Haoteng Asia,China,Asia,
Vise,1,Ribbit Capital,United States,North America,
Webull,0,,United States,North America,
Univers,0,HSG,Singapore,Asia,
AESC,0,Nissan Motor,Japan,Asia,
